x,y
25.4,-4.649
22.2,-33.05
19.1,-49.68
16.2,-65.16
13.3,-78.43
10.2,-91.44
7.25,-104.7
4.27,-117.4
1.24,-130.5
-1.75,-143.2
-1.76,-138.7
-1.75,-136.5
-1.77,-130
-1.77,-130
-1.77,-130
-1.8,-128
-4.91,-155.9
-7.95,-167.7
-10.9,-177.7
-13.9,-188
-16.7,-199.3
-19.6,-210.8
-22.6,-222
-25.7,-232.6
-28.8,-243.1
-32.2,-253.8
-35.3,-264.7
-38.6,-274.1
-41.7,-282.7
-44.8,-289.9
-45,-285.2
-45,-279.4
-45.1,-271.3
-45.2,-268.5
-43.9,-239
-42.6,-208.9
-40.8,-179.4
-40.8,-179.4
-39,-149.2
-37,-123.2
-37.1,-124.7
-37.1,-125
-37.1,-125.2
-35.1,-95.03
-32.6,-65.07
-29.3,-37.44
-26.2,-11.73
-23.2,10.53
-22.5,12.07
-22.5,10.24
-22.5,9.018
-22.5,8.458
-19.5,33.96
-16.7,49.63
-13.7,63.44
-10.7,76.71
-7.69,89.09
-4.64,101.1
-1.7,113.8
1.36,126.7
1.36,126.7
4.22,139.3
5.27,139.5
5.31,129.5
5.3,128.3
5.3,127.8
8.15,156.5
11.4,168.3
14.4,179.3
17.4,190.3
20.4,202.1
23.4,212.8
26.5,225
29.7,237.2
32.9,249
36,261.6
39.4,274.9
42.7,287
45.9,298.4
46.6,295.5
46.6,282
46.6,279.2
45.4,247.9
45.4,247.9
43.9,213.2
42.4,182.5
40.7,152.4
39.3,130
39.3,130.6
39.3,132.3
39.3,132.8
37.4,102
35.2,71.43
32.3,42.21
29.2,17.8
26,-4.684
25,-9.797
24.9,-3.942
25,-3.752
24.9,-3.615
21.9,-32.38
18.8,-49.17
15.7,-64.02
12.8,-77.3
9.71,-91.08
6.66,-103.8
6.66,-103.8
3.67,-116.4
0.607,-129.3
-2.42,-142
-2.44,-138.3
-2.46,-130
-2.45,-127.8
-5.59,-154.7
-8.55,-166.7
-11.6,-177.7
-14.6,-187.7
-17.8,-199.1
-20.7,-207.9
-23.8,-220.2
-26.8,-228.7
-30.1,-239.3
-33.4,-249.6
-36.7,-259.7
-39.8,-269.3
-43.1,-278.6
-44.8,-274.2
-44.8,-265.4
-44.9,-262.1
-44.9,-262.1
-43.4,-227.9
-41.8,-197.8
-40.1,-168.1
-38.2,-138.1
-37,-121.7
-37,-124.4
-37,-124.9
-35,-94.63
-32.4,-64.75
-29.2,-37.97
-26.2,-14.27
-23,8.128
-22.3,13.12
-22.2,8.899
-22.2,8.027
-19.3,32.23
-16.5,47.61
-13.5,61.5
-10.5,75.23
-7.53,87.7
-4.51,99.06
-1.38,111.9
-1.38,111.9
1.67,124.6
4.62,137.6
7.65,150.3
10.7,162
13.7,173.3
16.7,183.4
19.7,193.9
22.8,205.5
22.9,200.6
22.9,192.4
22.9,190.6
21.4,159.1
19.8,128.2
17.8,97.76
15.6,67.16
12.9,37.79
10,14.92
7.62,-2.623
7.59,-0.3064
7.59,0.3067
4.76,-24.48
1.79,-43.68
1.79,-43.68
-1.22,-63.15
-4.19,-83.27
-7.18,-106.3
-10.1,-127.7
-13.1,-147.5
-16,-163.5
-19,-178.3
-19.7,-177.4
-19.7,-176.4
-19.7,-170
-19.7,-170
-19.7,-168
-18.3,-138
-16.5,-108.2
-14.5,-78.99
-12.1,-49.97
-9.12,-23.79
-6.32,-2.015
-5.49,6.174
-5.48,4.352
-5.48,3.765
-2.47,30.41
-2.47,30.41
0.498,51.79
3.52,73.02
6.5,95.47
9.45,119.2
12.3,141.8
12.3,138.5
12.4,131.1
12.3,131
12.4,129.6
15,160
17.9,178
20.8,194.6
23.9,210.2
27,222.5
30,233.5
33.3,245.1
36.5,258
39.7,269.8
42.9,281.4
45.9,292.4
49.1,301.6
52.1,308.9
52.1,308.9
55.1,314.5
58.1,319.2
61.4,322.3
64.8,324.5
68.1,325.9
68.1,323.8
68.3,308.6
68.3,291.8
68.3,290.3
67.3,258.6
65.9,227.4
64.4,197
62.7,166.3
60.9,135.2
59.4,117.4
59.4,119.2
59.4,119.6
57.6,89.08
55.2,58.63
52.4,31.08
49.4,8.445
46.3,-9.147
46.3,-9.147
43.9,-17.18
43.9,-13.02
43.9,-12.09
40.6,-33.58
37.4,-46.52
34.1,-58.37
30.9,-68.62
27.7,-79.35
24.6,-89.03
21.5,-98.47
18.5,-107.8
15.5,-117.7
12.5,-126.9
9.55,-136.3
6.52,-145.2
6.09,-144
6.05,-133.3
6.02,-131.3
2.93,-155.4
-0.152,-164.5
-3.25,-173.2
-6.33,-181.6
-6.33,-181.6
-9.34,-189.8
-12.3,-197.3
-15.3,-203.9
-18.1,-211.2
-21.2,-218.9
-24.2,-226.8
-27.2,-234
-30.2,-241.3
-33.5,-248.1
-36.9,-254.8
-39.9,-260.5
-43.4,-267
-46.6,-272.6
-49.7,-277.1
-52.7,-280.6
-55.6,-283.3
-58.7,-285.5
-61.6,-287.2
-63.5,-286.4
-63.5,-274.6
-63.5,-272.1
-63.5,-263.9
-63.5,-263.9
-63.6,-258.6
-62.4,-229.3
-60.9,-199.4
-59.2,-170.1
-57.2,-139.8
-55.3,-110.3
-53,-80.82
-50.2,-51.5
-47.2,-28.66
-44.1,-8.77
-40.8,9.687
-38.3,21.11
-38.3,20.73
-38.2,17.51
-38.2,16.5
-35.1,38.84
-31.9,52.1
-28.6,63.83
-25.4,74.57
-22.2,84.33
-19.2,92.97
-16.4,101.5
-16.4,101.5
-13.4,110
-10.4,117.9
-7.61,124.9
-4.56,132
-1.5,139.2
